Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/12/2019;424,19;434,87;417,11;396,09;378,83;348,36;325,21;302,55;280,4;274,16;277,27;283,53;286,67;289,83;286,67;283,53;289,83;328,49;355,06;382,26;392,62;396,09;431,3;442,04;438,45;427,74;413,58;399,57;375,4;348,36;321,94
01/11/2019;249,66;249,66;246,64;234,7;240,65;286,67;292,99;255,72;243,64;305,75;406,56;378,83;348,36;345,02;358,43;355,06;338,38;318,68;299,35;277,27;252,68;231,75;211,37;190,41;174,69;168,5;228,8;289,83;318,68;375,4;
01/10/2019;358,43;321,94;277,27;243,64;222,94;217,13;214,25;217,13;225,87;240,65;258,76;264,89;252,68;237,67;228,8;267,97;308,97;361,8;385,7;361,8;335,07;325,21;312,2;286,67;267,97;246,64;234,7;258,76;258,76;249,66;243,64
01/09/2019;141,27;138,32;147,23;174,69;217,13;252,68;267,97;267,97;258,76;249,66;240,65;231,75;208,51;187,24;171,59;165,42;156,26;156,26;153,24;199,99;296,17;406,56;515,67;588,72;557,6;527;496,94;456,49;427,74;392,62;
01/08/2019;190,41;184,08;180,94;174,69;171,59;168,5;165,42;165,42;162,35;159,3;156,26;153,24;150,23;147,23;144,24;144,24;141,27;141,27;141,27;147,23;153,24;156,26;165,42;174,69;180,94;177,81;168,5;162,35;156,26;150,23;144,24
01/07/2019;596,58;612,4;608,43;600,52;592,65;584,8;553,75;504,4;452,87;406,56;365,19;331,77;308,97;292,99;280,4;271,06;261,82;252,68;249,66;243,64;237,67;231,75;225,87;220,03;214,25;211,37;205,66;199,99;196,78;196,78;196,78
01/06/2019;1638,93;1774,58;1857,54;1986,96;2183,06;2982,28;3157,54;3216,63;3144,45;2982,28;2759,71;2318,86;2159,69;2009,73;1879,86;1752,66;1590,91;1377,76;1088,09;807,32;628,34;519,44;471,08;449,25;403,06;396,09;385,7;442,04;496,94;546,07;
01/05/2019;549,9;628,34;632,34;608,43;573,1;530,8;482,11;460,12;434,87;382,26;351,71;348,36;389,16;399,57;417,11;427,74;431,3;424,19;392,62;361,8;338,38;325,21;318,68;325,21;375,4;489,51;569,21;685,1;949,05;1130,92;1372,68
01/04/2019;271,06;255,72;243,64;234,7;237,67;240,65;292,99;358,43;546,07;705,74;773;798,7;790,1;747,56;685,1;616,37;573,1;527;463,77;410,06;371,99;358,43;365,19;368,59;375,4;389,16;406,56;452,87;496,94;511,9;
01/03/2019;608,43;584,8;557,6;523,22;489,51;467,42;496,94;580,89;569,21;612,4;672,81;730,74;829;842,09;811,64;773;751,78;730,74;718,2;697,46;640,38;584,8;538,42;493,22;445,64;399,57;365,19;341,69;321,94;302,55;286,67
01/02/2019;255,72;237,67;222,94;222,94;255,72;261,82;255,72;258,76;252,68;234,7;217,13;199,99;187,24;174,69;184,08;328,49;399,57;427,74;504,4;530,8;557,6;534,6;523,22;534,6;549,9;584,8;620,35;620,35;;;
01/01/2019;214,25;199,99;184,08;184,08;184,08;187,24;187,24;205,66;228,8;249,66;249,66;237,67;255,72;271,06;289,83;292,99;305,75;335,07;417,11;424,19;413,58;399,57;385,7;358,43;341,69;341,69;331,77;325,21;321,94;302,55;277,27
01/12/2018;225,87;237,67;246,64;258,76;267,97;258,76;243,64;225,87;211,37;193,58;177,81;165,42;159,3;150,23;141,27;138,32;141,27;150,23;199,99;240,65;274,16;280,4;292,99;318,68;341,69;361,8;375,4;338,38;292,99;255,72;231,75
01/11/2018;1237,69;1164,57;1088,09;1003,97;949,05;890,63;820,31;734,93;652,48;584,8;530,8;478,42;424,19;389,16;365,19;345,02;331,77;318,68;312,2;302,55;292,99;280,4;267,97;258,76;246,64;234,7;222,94;214,25;211,37;220,03;
01/10/2018;258,76;296,17;335,07;471,08;553,75;632,34;730,74;868,47;899,54;935,47;967,25;985,56;1036,44;1183,94;1302,16;1418,61;1423,74;1454,65;1480,57;1501,4;1490,97;1475,37;1449,49;1439,17;1459,83;1459,83;1459,83;1434,02;1387,94;1332,24;1277,24
01/09/2018;180,94;249,66;471,08;681;739,13;676,9;616,37;557,6;496,94;442,04;385,7;355,06;321,94;305,75;286,67;261,82;237,67;231,75;225,87;217,13;211,37;205,66;193,58;187,24;205,66;234,7;252,68;264,89;277,27;277,27;
01/08/2018;112,4;109,6;112,4;112,4;109,6;109,6;104,04;106,81;106,81;106,81;106,81;104,04;104,04;104,04;101,29;101,29;95,84;93,14;95,84;93,14;93,14;106,81;120,9;135,38;199,99;225,87;217,13;220,03;228,8;220,03;199,99
01/07/2018;427,74;420,64;382,26;341,69;305,75;274,16;249,66;234,7;217,13;205,66;193,58;184,08;174,69;168,5;162,35;156,26;150,23;147,23;144,24;138,32;135,38;129,54;126,65;123,77;123,77;123,77;120,9;120,9;118,05;118,05;115,22
01/06/2018;112,4;109,6;112,4;112,4;112,4;115,22;120,9;123,77;129,54;132,45;135,38;141,27;231,75;255,72;240,65;240,65;255,72;255,72;237,67;222,94;214,25;202,82;187,24;174,69;165,42;159,3;199,99;271,06;341,69;396,09;
01/05/2018;159,3;156,26;153,24;153,24;150,23;144,24;138,32;138,32;138,32;135,38;135,38;132,45;129,54;126,65;129,54;129,54;129,54;126,65;147,23;162,35;162,35;153,24;159,3;162,35;156,26;144,24;132,45;126,65;120,9;118,05;112,4
01/04/2018;739,13;760,24;756,01;739,13;718,2;697,46;672,81;640,38;592,65;542,24;493,22;442,04;385,7;331,77;302,55;271,06;252,68;243,64;234,7;225,87;220,03;214,25;208,51;205,66;199,99;190,41;180,94;171,59;165,42;162,35;
01/03/2018;261,82;252,68;249,66;264,89;286,67;308,97;325,21;338,38;338,38;338,38;345,02;348,36;341,69;331,77;365,19;399,57;434,87;449,25;467,42;482,11;508,15;523,22;549,9;576,99;604,47;628,34;656,53;685,1;685,1;714,04;743,34
01/02/2018;1130,92;1092,82;1055,13;1003,97;958,14;912,97;864,05;820,31;751,78;685,1;612,4;561,46;519,44;485,8;467,42;471,08;463,77;442,04;424,19;417,11;406,56;396,09;385,7;365,19;341,69;312,2;299,35;283,53;;;
01/01/2018;777,26;820,31;837,72;837,72;807,32;768,74;730,74;697,46;668,73;656,53;644,4;681;693,33;701,59;709,88;697,46;705,74;785,81;777,26;815,97;899,54;971,82;1050,45;1126,13;1218,06;1242,62;1227,87;1208,28;1227,87;1227,87;1179,09
01/12/2017;399,57;365,19;338,38;315,44;296,17;280,4;274,16;264,89;258,76;252,68;243,64;234,7;222,94;208,51;193,58;190,41;184,08;180,94;193,58;196,78;202,82;205,66;214,25;222,94;237,67;246,64;255,72;315,44;527;697,46;739,13
01/11/2017;685,1;722,38;760,24;773;785,81;798,7;743,34;697,46;660,59;620,35;616,37;573,1;515,67;463,77;434,87;403,06;385,7;434,87;527;538,42;608,43;681;709,88;693,33;664,66;628,34;584,8;530,8;485,8;442,04;
01/10/2017;106,81;132,45;165,42;199,99;237,67;271,06;305,75;345,02;375,4;389,16;456,49;508,15;553,75;584,8;620,35;640,38;648,44;652,48;652,48;640,38;632,34;620,35;604,47;584,8;557,6;542,24;557,6;576,99;604,47;624,34;648,44
01/09/2017;255,72;222,94;234,7;202,82;193,58;184,08;174,69;177,81;171,59;156,26;159,3;144,24;138,32;135,38;132,45;147,23;129,54;123,77;120,9;118,05;118,05;112,4;112,4;109,6;106,81;109,6;104,04;101,29;98,56;101,29;
01/08/2017;159,3;159,3;162,35;168,5;177,81;184,08;187,24;190,41;193,58;190,41;159,3;156,26;165,42;165,42;180,94;208,51;196,78;222,94;208,51;246,64;283,53;328,49;378,83;427,74;478,42;515,67;530,8;523,22;493,22;445,64;385,7
01/07/2017;305,75;286,67;274,16;271,06;261,82;258,76;249,66;249,66;246,64;237,67;234,7;225,87;225,87;220,03;214,25;208,51;205,66;196,78;193,58;187,24;184,08;184,08;180,94;180,94;177,81;174,69;171,59;168,5;162,35;162,35;156,26
01/06/2017;612,4;624,34;652,48;689,21;747,56;842,09;949,05;1097,56;1222,96;1237,69;1267,32;1292,17;1387,94;1297,16;1193,66;1078,64;971,82;864,05;764,49;681;620,35;580,89;553,75;534,6;508,15;424,19;442,04;424,19;348,36;325,21;
01/05/2017;222,94;217,13;211,37;205,66;190,41;162,35;174,69;168,5;171,59;174,69;180,94;180,94;180,94;150,23;187,24;165,42;208,51;222,94;258,76;308,97;378,83;456,49;534,6;600,52;652,48;701,59;636,36;628,34;672,81;640,38;624,34
